symbol,name,sector
20MICRONS,,Metals & Mining
3IINFOLTD,,Software & Services
3PLAND,,Realty
63MOONS,,Software & Services
A2ZINFRA,,Cement and Construction
AAATECH,,Commercial Services & Supplies
AAKAAR,,Healthcare
AAKASH,,Oil & Gas
AARADHYA,,Commercial Services & Supplies
AAREYDRUGS,,Pharmaceuticals & Biotechnology
AARON,,General Industrials
AARTECH,,General Industrials
AARTISURF,,Chemicals & Petrochemicals
AARVI,,Diversified Consumer Services
AATMAJ,,Healthcare
ABAN,,Oil & Gas
ABCAPITAL,,Diversified
ABCOTS,,Textiles Apparels & Accessories
ABHAPOWER,,Metals & Mining
ABINFRA,,Cement and Construction
ABMINTLLTD,,Commercial Services & Supplies
ABSMARINE,,Transportation
ACCELYA,,Software & Services
ACCENTMIC,,Pharmaceuticals & Biotechnology
ACCORD,,Telecom Services
ACCPL,,Pharmaceuticals & Biotechnology
ACCURACY,,Transportation
ACEINTEG,,Commercial Services & Supplies
ACETEC,,Textiles Apparels & Accessories
ACL,,Cement and Construction
ACTIVEINFR,,Cement and Construction
ADDICTIVE,,Diversified Consumer Services
ADFFOODS,,FMCG
ADISOFT,,General Industrials
ADL,,Forest Materials
ADOR,,General Industrials
ADROITINFO,,Software & Services
ADSL,,Software & Services
ADVANCE,,Chemicals & Petrochemicals
ADVANIHOTR,,Hotels Restaurants & Tourism
ADVENTHTL,,Hotels Restaurants & Tourism
AEROENTER,,Metals & Mining
AEROFLEX,,Metals & Mining
AERON,,General Industrials
AERONEU,,Commercial Services & Supplies
AESTHETIK,,Cement and Construction
AFFORDABLE,,General Industrials
AGARIND,,Chemicals & Petrochemicals
AGARWALFT,,Commercial Services & Supplies
AGARWALTUF,,Cement and Construction
AGI,,Commercial Services & Supplies
AGIIL,,Realty
AGNI,,Utilities
AGRITECH,,"Food, Beverages & Tobacco"
AGROPHOS,,Fertilizers
AGSTRA,,Software & Services
AGUL,,Metals & Mining
AHCL,,Pharmaceuticals & Biotechnology
AHLADA,,Metals & Mining
AHLEAST,,Hotels Restaurants & Tourism
AHLWEST,,Hotels Restaurants & Tourism
AILIMITED,,Commercial Services & Supplies
AIMTRON,,Commercial Services & Supplies
AIRAN,,Software & Services
AIROLAM,,Diversified Consumer Services
AISL,,Commercial Services & Supplies
AJAXENGG,,Automobiles & Auto Components
AJMERA,,Realty
AJOONI,,"Food, Beverages & Tobacco"
AKANKSHA,,Consumer Durables
AKASH,,Cement and Construction
AKG,,Commercial Services & Supplies
AKI,,Textiles Apparels & Accessories
AKIKO,,Commercial Services & Supplies
AKSHAR,,Textiles Apparels & Accessories
AKSHARCHEM,,Chemicals & Petrochemicals
AKSHOPTFBR,,Telecommunications Equipment
ALBERTDAVD,,Pharmaceuticals & Biotechnology
ALCODIS,,"Food, Beverages & Tobacco"
ALEMBICLTD,,Pharmaceuticals & Biotechnology
ALICON,,Automobiles & Auto Components
ALKALI,,Chemicals & Petrochemicals
ALLCARGO,,Transportation
ALLDIGI,,Software & Services
ALLETEC,,Software & Services
ALLTIME,,Consumer Durables
ALPA,,Pharmaceuticals & Biotechnology
ALPEXSOLAR,,Utilities
ALPHAGEO,,Oil & Gas
ALUWIND,,Metals & Mining
AMAGI,,Software & Services
AMANTA,,Pharmaceuticals & Biotechnology
AMBAAUTO,,Retailing
AMBANIORGO,,Chemicals & Petrochemicals
AMBICAAGAR,,Consumer Durables
AMBIKCO,,Textiles Apparels & Accessories
AMCL,,Metals & Mining
AMDIND,,Commercial Services & Supplies
AMEYA,,General Industrials
AMIABLE,,Transportation
AMIRCHAND,,"Food, Beverages & Tobacco"
AMJLAND,,Realty
AMNPLST,,Chemicals & Petrochemicals
AMRUTANJAN,,Pharmaceuticals & Biotechnology
ANANTAM,,Realty
ANDHRAPAP,,Commercial Services & Supplies
ANDHRSUGAR,,Chemicals & Petrochemicals
ANIKINDS,,Diversified
ANKITMETAL,,Metals & Mining
ANLON,,General Industrials
ANMOL,,Commercial Services & Supplies
ANNAPURNA,,FMCG
ANONDITA,,FMCG
ANSALAPI,,Realty
ANTELOPUS,,Oil & Gas
