ticker,sector,klass,in_ntm
360ONE.NS,Banking and Finance,financial,True
5PAISA.NS,Banking and Finance,financial,False
AADHARHFC.NS,Banking and Finance,financial,True
AAVAS.NS,Banking and Finance,financial,True
ABSLAMC.NS,Banking and Finance,financial,True
AFIL.NS,Banking and Finance,financial,False
AFSL.NS,Banking and Finance,financial,False
AIIL.NS,Banking and Finance,financial,True
ALGOQUANT.NS,Banking and Finance,financial,False
ALMONDZ.NS,Banking and Finance,financial,False
ANANDRATHI.NS,Banking and Finance,financial,True
ANGELONE.NS,Banking and Finance,financial,True
APTUS.NS,Banking and Finance,financial,True
ARIHANTCAP.NS,Banking and Finance,financial,False
ARMANFIN.NS,Banking and Finance,financial,False
ARSSBL.NS,Banking and Finance,financial,False
ASCOM.NS,Banking and Finance,financial,False
AUBANK.NS,Banking and Finance,financial,True
AVONMORE.NS,Banking and Finance,financial,False
AXISBANK.NS,Banking and Finance,financial,True
AYE.NS,Banking and Finance,financial,False
BAIDFIN.NS,Banking and Finance,financial,False
BAJAJHFL.NS,Banking and Finance,financial,True
BAJFINANCE.NS,Banking and Finance,financial,True
BANDHANBNK.NS,Banking and Finance,financial,True
BANKBARODA.NS,Banking and Finance,financial,True
BANKINDIA.NS,Banking and Finance,financial,True
BIRLAMONEY.NS,Banking and Finance,financial,False
BLBLIMITED.NS,Banking and Finance,financial,False
BLUECHIP.NS,Banking and Finance,financial,False
BSE.NS,Banking and Finance,financial,True
CANBK.NS,Banking and Finance,financial,True
CANFINHOME.NS,Banking and Finance,financial,True
CANHLIFE.NS,Banking and Finance,financial,True
CAPITALSFB.NS,Banking and Finance,financial,False
CAPTRUST.NS,Banking and Finance,financial,False
CARERATING.NS,Banking and Finance,financial,False
CDSL.NS,Banking and Finance,financial,True
CENTRALBK.NS,Banking and Finance,financial,True
CENTRUM.NS,Banking and Finance,financial,False
CGCL.NS,Banking and Finance,financial,True
CHOICEIN.NS,Banking and Finance,financial,True
CHOLAFIN.NS,Banking and Finance,financial,True
CIFL.NS,Banking and Finance,financial,False
CONSOFINVT.NS,Banking and Finance,financial,False
CORALFINAC.NS,Banking and Finance,financial,False
CRAMC.NS,Banking and Finance,financial,True
CREDITACC.NS,Banking and Finance,financial,True
CREST.NS,Banking and Finance,financial,False
CRISIL.NS,Banking and Finance,financial,True
CSBBANK.NS,Banking and Finance,financial,True
CSLFINANCE.NS,Banking and Finance,financial,False
CUB.NS,Banking and Finance,financial,True
DAMCAPITAL.NS,Banking and Finance,financial,False
DBSTOCKBRO.NS,Banking and Finance,financial,False
DCBBANK.NS,Banking and Finance,financial,True
DCCL.NS,Banking and Finance,financial,False
DCMFINSERV.NS,Banking and Finance,financial,False
DELPHIFX.NS,Banking and Finance,financial,False
DHANBANK.NS,Banking and Finance,financial,False
DHUNINV.NS,Banking and Finance,financial,False
DOLATALGO.NS,Banking and Finance,financial,False
DVL.NS,Banking and Finance,financial,False
EDELWEISS.NS,Banking and Finance,financial,True
EMKAY.NS,Banking and Finance,financial,False
EQUITASBNK.NS,Banking and Finance,financial,True
ESAFSFB.NS,Banking and Finance,financial,False
FEDERALBNK.NS,Banking and Finance,financial,True
FEDFINA.NS,Banking and Finance,financial,True
FINBUD.NS,Banking and Finance,financial,False
FINKURVE.NS,Banking and Finance,financial,False
FINOPB.NS,Banking and Finance,financial,False
FIVESTAR.NS,Banking and Finance,financial,True
FUSION.NS,Banking and Finance,financial,False
GATECH.NS,Banking and Finance,financial,False
GCSL.NS,Banking and Finance,financial,False
GEOJITFSL.NS,Banking and Finance,financial,False
GICHSGFIN.NS,Banking and Finance,financial,False
GICRE.NS,Banking and Finance,financial,True
GKWLIMITED.NS,Banking and Finance,financial,False
GLFL.NS,Banking and Finance,financial,False
GODIGIT.NS,Banking and Finance,financial,True
GROWW.NS,Banking and Finance,financial,True
HBSL.NS,Banking and Finance,financial,False
HDBFS.NS,Banking and Finance,financial,True
HDFCAMC.NS,Banking and Finance,financial,True
HDFCBANK.NS,Banking and Finance,financial,True
HDFCLIFE.NS,Banking and Finance,financial,True
MAHABANK.NS,Banking and Finance,financial,True
ABGSEC.NS,Others,fund/etf/other,False
ABSL10BANK.NS,Others,fund/etf/other,False
ABSLBANETF.NS,Others,fund/etf/other,False
ABSLLIQUID.NS,Others,fund/etf/other,False
ABSLMSCIN.NS,Others,fund/etf/other,False
ABSLNN50ET.NS,Others,fund/etf/other,False
ABSLPSE.NS,Others,fund/etf/other,False
ADVAIT.NS,Consumer Durables,fund/etf/other,False
ALANKIT.NS,Commercial Services & Supplies,fund/etf/other,False
AONEGOLD.NS,Others,fund/etf/other,False
AONELIQUID.NS,Others,fund/etf/other,False
AONENIFTY.NS,Others,fund/etf/other,False
AONESILVER.NS,Others,fund/etf/other,False
AONETMMQ50.NS,Others,fund/etf/other,False
AONETOTAL.NS,Others,fund/etf/other,False
ATLPP.NS,Others,fund/etf/other,False
AXISBNKETF.NS,Others,fund/etf/other,False
AXISCETF.NS,Others,fund/etf/other,False
AXISGOLD.NS,Others,fund/etf/other,False
AXISHCETF.NS,Others,fund/etf/other,False
AXISILVER.NS,Others,fund/etf/other,False
AXISNIFTY.NS,Others,fund/etf/other,False
AXISTECETF.NS,Others,fund/etf/other,False
AXISVALUE.NS,Others,fund/etf/other,False
AXSENSEX.NS,Others,fund/etf/other,False
BANK10ADD.NS,Others,fund/etf/other,False
BANKADD.NS,Others,fund/etf/other,False
BANKBETF.NS,Others,fund/etf/other,False
BBETF0432.NS,Others,fund/etf/other,False
BBNPNBETF.NS,Others,fund/etf/other,False
BBNPPGOLD.NS,Others,fund/etf/other,False
BSLGOLDETF.NS,Others,fund/etf/other,False
BSLNIFTY.NS,Others,fund/etf/other,False
BSLSENETFG.NS,Others,fund/etf/other,False
CAPINVIT.NS,Realty,fund/etf/other,False
CHOICEGOLD.NS,Others,fund/etf/other,False
CPSEETF.NS,Others,fund/etf/other,False
CUBEINVIT.NS,Utilities,fund/etf/other,False
DEVIT.NS,Software & Services,fund/etf/other,False
EBANKNIFTY.NS,Others,fund/etf/other,False
EBBETF0430.NS,Others,fund/etf/other,False
EBBETF0431.NS,Others,fund/etf/other,False
EBBETF0433.NS,Others,fund/etf/other,False
ECAPINSURE.NS,Others,fund/etf/other,False
EGOLD.NS,Others,fund/etf/other,False
ELIQUID.NS,Others,fund/etf/other,False
ELM250.NS,Others,fund/etf/other,False
EMULTIMQ.NS,Others,fund/etf/other,False
ENEXT50.NS,Others,fund/etf/other,False
ENIFTY.NS,Others,fund/etf/other,False
EQUAL50ADD.NS,Others,fund/etf/other,False
ESENSEX.NS,Others,fund/etf/other,False
ESILVER.NS,Others,fund/etf/other,False
ESPRIT.NS,Diversified Consumer Services,fund/etf/other,False
FCONSUMER.NS,FMCG,fund/etf/other,False
FLEXIADD.NS,Others,fund/etf/other,False
FMCGADD.NS,Others,fund/etf/other,False
