symbol,ticker,name,sector,isin
360ONE,360ONE.NS,360 ONE WAM Ltd.,Financial Services,INE466L01038
3MINDIA,3MINDIA.NS,3M India Ltd.,Diversified,INE470A01017
ABB,ABB.NS,ABB India Ltd.,Capital Goods,INE117A01022
ACC,ACC.NS,ACC Ltd.,Construction Materials,INE012A01025
ACMESOLAR,ACMESOLAR.NS,ACME Solar Holdings Ltd.,Power,INE622W01025
AIAENG,AIAENG.NS,AIA Engineering Ltd.,Capital Goods,INE212H01026
APLAPOLLO,APLAPOLLO.NS,APL Apollo Tubes Ltd.,Capital Goods,INE702C01027
AUBANK,AUBANK.NS,AU Small Finance Bank Ltd.,Financial Services,INE949L01017
AWL,AWL.NS,AWL Agri Business Ltd.,Fast Moving Consumer Goods,INE699H01024
AADHARHFC,AADHARHFC.NS,Aadhar Housing Finance Ltd.,Financial Services,INE883F01010
AARTIIND,AARTIIND.NS,Aarti Industries Ltd.,Chemicals,INE769A01020
AAVAS,AAVAS.NS,Aavas Financiers Ltd.,Financial Services,INE216P01012
ABBOTINDIA,ABBOTINDIA.NS,Abbott India Ltd.,Healthcare,INE358A01014
ACE,ACE.NS,Action Construction Equipment Ltd.,Capital Goods,INE731H01025
ACUTAAS,ACUTAAS.NS,Acutaas Chemicals Ltd.,Healthcare,INE00FF01025
ADANIENSOL,ADANIENSOL.NS,Adani Energy Solutions Ltd.,Power,INE931S01010
ADANIENT,ADANIENT.NS,Adani Enterprises Ltd.,Metals & Mining,INE423A01024
ADANIGREEN,ADANIGREEN.NS,Adani Green Energy Ltd.,Power,INE364U01010
ADANIPORTS,ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,Services,INE742F01042
ADANIPOWER,ADANIPOWER.NS,Adani Power Ltd.,Power,INE814H01029
ATGL,ATGL.NS,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,INE399L01023
ABCAPITAL,ABCAPITAL.NS,Aditya Birla Capital Ltd.,Financial Services,INE674K01013
ABFRL,ABFRL.NS,Aditya Birla Fashion and Retail Ltd.,Consumer Services,INE647O01011
ABLBL,ABLBL.NS,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,INE14LE01019
ABREL,ABREL.NS,Aditya Birla Real Estate Ltd.,Realty,INE055A01016
ABSLAMC,ABSLAMC.NS,Aditya Birla Sun Life AMC Ltd.,Financial Services,INE404A01024
CPPLUS,CPPLUS.NS,Aditya Infotech Ltd.,Capital Goods,INE819V01029
AEGISLOG,AEGISLOG.NS,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,INE208C01025
AEGISVOPAK,AEGISVOPAK.NS,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,INE0INX01018
AFCONS,AFCONS.NS,Afcons Infrastructure Ltd.,Construction,INE101I01011
AFFLE,AFFLE.NS,Affle 3i Ltd.,Information Technology,INE00WC01027
AJANTPHARM,AJANTPHARM.NS,Ajanta Pharmaceuticals Ltd.,Healthcare,INE031B01049
ALKEM,ALKEM.NS,Alkem Laboratories Ltd.,Healthcare,INE540L01014
ABDL,ABDL.NS,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,INE552Z01027
ARE&M,ARE&M.NS,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,INE885A01032
AMBER,AMBER.NS,Amber Enterprises India Ltd.,Consumer Durables,INE371P01015
AMBUJACEM,AMBUJACEM.NS,Ambuja Cements Ltd.,Construction Materials,INE079A01024
ANANDRATHI,ANANDRATHI.NS,Anand Rathi Wealth Ltd.,Financial Services,INE463V01026
ANANTRAJ,ANANTRAJ.NS,Anant Raj Ltd.,Realty,INE242C01024
ANGELONE,ANGELONE.NS,Angel One Ltd.,Financial Services,INE732I01021
ANTHEM,ANTHEM.NS,Anthem Biosciences Ltd.,Healthcare,INE0CZ201020
ANURAS,ANURAS.NS,Anupam Rasayan India Ltd.,Chemicals,INE930P01018
APARINDS,APARINDS.NS,Apar Industries Ltd.,Capital Goods,INE372A01015
APOLLOHOSP,APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.,Healthcare,INE437A01024
